blknight,case,contrib,coop,cost,dstres,gnpcst,gnprat,inst,length,natsec,imports,exports,policies,relate,result,success,tarcst,us,year,pre_73,trade,blk_m,blk_x,blk_trd,in_coop
0,721,3,2,2,1,2.60,860.00,0.00,7,0,11.00,33.00,0,0,4,12,36.00,1,1972,1,44,0.00,0.00,0.00,0.00
1,731,3,3,1,3,0.40,0.10,1.00,1,1,3.00,2.00,0,0,3,9,5697.00,0,1973,1,5,3.00,2.00,5.00,3.00
0,732,2,1,1,2,1.80,78.00,0.00,4,0,23.00,35.00,0,1,2,4,333.00,1,1973,1,58,0.00,0.00,0.00,0.00
0,733,2,1,1,1,0.60,187.00,1.00,17,0,27.00,9.00,0,0,3,6,54.00,1,1973,1,36,0.00,0.00,0.00,1.00
0,741,1,1,1,2,0.20,42.00,0.00,4,1,13.00,11.00,0,1,1,1,77.00,1,1974,0,24,0.00,0.00,0.00,0.00
0,742,2,2,2,3,0.00,2.00,0.00,2,1,3.00,1.00,0,0,2,4,33.00,0,1974,0,4,0.00,0.00,0.00,0.00
0,743,2,2,2,2,0.10,14.00,0.00,2,1,2.00,1.00,0,0,2,4,13.00,0,1974,0,3,0.00,0.00,0.00,0.00
0,751,4,2,2,3,0.00,87.00,0.00,1,1,26.00,38.00,0,1,4,16,0.00,1,1975,0,64,0.00,0.00,0.00,0.00
0,752,2,1,2,3,0.00,2.00,0.00,15,0,6.00,1.00,0,0,3,6,102.00,1,1975,0,7,0.00,0.00,0.00,0.00
0,753,2,1,1,3,0.00,5.00,0.00,15,0,1.00,1.00,0,0,4,8,126.00,1,1975,0,2,0.00,0.00,0.00,0.00
0,754,2,2,2,3,0.00,43.00,0.00,7,1,17.00,7.00,0,0,2,4,2.00,1,1975,0,24,0.00,0.00,0.00,0.00
0,755,1,1,1,1,6.80,2523.00,0.00,4,1,0.00,0.00,0,0,1,1,42.00,1,1975,0,0,0.00,0.00,0.00,0.00
